player_id,name,pos,club,now_price,owned_by_%,xG_last4,xA_last4,xGI_last4,npXGI90_last6,shots_box_last4,big_chances_last4,key_passes_last4,mins_last4,expected_minutes_gw+1,proj_points_gw+1,proj_points_next3,injury_status,notes,legend_weight
362,Joël Piroe,FWD,LEE,5.4,1.0,,,,,,,,,75.0,,,,,1.0
93,Hamed Traorè,MID,BOU,4.5,1.0,,,,,,,,,,,,,,1.0
363,Patrick Bamford,FWD,LEE,4.9,1.0,,,,,,,,,,,,,,1.0
640,Pedro Cardoso de Lima,DEF,WOL,4.0,0.9,,,,,,,,,,,,,,1.0
53,Donyell Malen,MID,AVL,5.3,0.9,,,,,,,,,,,,,,1.0
418,Jérémy Doku,MID,MCI,6.4,0.9,,,,,,,,,,,,,,1.0
736,Gianluigi Donnarumma,GKP,MCI,5.5,0.9,0,0,0,,0,0,0,0,,,,Fit,,1.0
200,Jaidon Anthony,MID,BUR,5.5,0.8,,,,,,,,,,,,,,1.0
578,Luka Vušković,DEF,TOT,3.9,0.8,,,,,,,,,,,,,,1.0
33,Marco Bizot,GKP,AVL,4.5,0.8,,,,,,,,,,,,,,1.0
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,TOT,5.5,0.8,,,,,,,,,,,,,,1.0
717,Xavi Simons,MID,TOT,7.0,0.8,0,0,0,,0,0,0,0,,,,Fit,,1.0
217,Lyle Foster,FWD,BUR,5.0,0.8,,,,,,,,,,,,,,1.0
664,Benjamin Lecomte,GKP,FUL,4.0,0.8,,,,,,,,,,,,,,1.0
365,Lukas Nmecha,FWD,LEE,5.0,0.8,,,,,,,,,75.0,,,,,1.0
77,James Hill,DEF,BOU,4.0,0.8,,,,,,,,,,,,,,1.0
316,Antonee Robinson,DEF,FUL,5.0,0.8,,,,,,,,,100.0,,,,,1.0
121,Mikkel Damsgaard,MID,BRE,5.9,0.8,,,,,,,,,,,,,,1.0
325,Emile Smith Rowe,MID,FUL,5.9,0.8,,,,,,,,,,,,,,1.0
105,Hákon Rafn Valdimarsson,GKP,BRE,4.0,0.8,,,,,,,,,,,,,,1.0
160,Yankuba Minteh,MID,BHA,5.9,0.8,,,,,,,,,,,,,,1.0
626,Callum Marshall,FWD,WHU,4.4,0.7,,,,,,,,,,,,,,1.0
158,Georginio Rutter,MID,BHA,5.9,0.7,,,,,,,,,100.0,,,,,1.0
599,Dane Scarlett,FWD,TOT,4.4,0.7,,,,,,,,,,,,,,1.0
678,Arthur Masuaku,DEF,SUN,4.0,0.7,,,,,,,,,100.0,,,,,1.0
65,Zépiqueno Redmond,FWD,AVL,4.5,0.7,,,,,,,,,,,,,,1.0
674,Aaron Ramsdale,GKP,NEW,4.9,0.7,,,,,,,,,,,,,,1.0
481,Alex Murphy,DEF,NEW,4.0,0.7,,,,,,,,,,,,,,1.0
442,Harry Maguire,DEF,MUN,4.4,0.7,,,,,,,,,,,,,,1.0
416,Bernardo Mota Veiga de Carvalho e Silva,MID,MCI,6.4,0.7,,,,,,,,,,,,,,1.0
405,Nathan Aké,DEF,MCI,5.5,0.7,,,,,,,,,,,,,,1.0
81,Justin Kluivert,MID,BOU,7.0,0.7,,,,,,,,,100.0,,,,,1.0
113,Sepp van den Berg,DEF,BRE,4.5,0.7,,,,,,,,,,,,,,1.0
629,Daniel Bentley,GKP,WOL,4.0,0.7,,,,,,,,,,,,,,1.0
2,Kepa Arrizabalaga Revuelta,GKP,ARS,4.4,0.7,,,,,,,,,,,,,,1.0
54,John McGinn,MID,AVL,5.5,0.6,,,,,,,,,,,,,,1.0
39,Ian Maatsen,DEF,AVL,4.4,0.6,,,,,,,,,,,,,,1.0
560,Wilson Isidor,FWD,SUN,5.5,0.6,,,,,,,,,,,,,,1.0
63,Kadan Young,MID,AVL,4.5,0.6,,,,,,,,,,,,,,1.0
11,Benjamin White,DEF,ARS,5.4,0.6,,,,,,,,,50.0,,,,,1.0
623,Freddie Potts,MID,WHU,4.4,0.6,,,,,,,,,,,,,,1.0
390,Ryan Gravenberch,MID,LIV,5.5,0.6,,,,,,,,,100.0,,,,,1.0
421,Rodrigo 'Rodri' Hernandez Cascante,MID,MCI,6.4,0.6,,,,,,,,,100.0,,,,,1.0
263,Nathaniel Clyne,DEF,CRY,4.0,0.6,,,,,,,,,,,,,,1.0
329,Harry Wilson,MID,FUL,5.4,0.6,,,,,,,,,100.0,,,,,1.0
339,Illan Meslier,GKP,LEE,4.4,0.6,,,,,,,,,,,,,,1.0
295,Michael Keane,DEF,EVE,4.5,0.6,,,,,,,,,,,,,,1.0
601,Wes Foderingham,GKP,WHU,4.0,0.5,,,,,,,,,,,,,,1.0
574,Destiny Udogie,DEF,TOT,4.4,0.5,,,,,,,,,100.0,,,,,1.0
529,Simon Moore,GKP,SUN,4.0,0.5,,,,,,,,,,,,,,1.0
30,Kai Havertz,FWD,ARS,7.4,0.5,,,,,,,,,,,,,,1.0
613,Tomáš Souček,MID,WHU,5.8,0.5,,,,,,,,,,,,,,1.0
292,Vitalii Mykolenko,DEF,EVE,4.9,0.5,,,,,,,,,75.0,,,,,1.0
404,Manuel Akanji,DEF,MCI,5.4,0.5,,,,,,,,,,,,,,1.0
660,Anton Stach,MID,LEE,5.0,0.5,,,,,,,,,,,,,,1.0
685,Bafodé Diakité,DEF,BOU,4.5,0.5,,,,,,,,,,,,,,1.0
424,Oscar Bobb,MID,MCI,5.5,0.5,,,,,,,,,,,,,,1.0
310,Thierno Barry,FWD,EVE,5.9,0.5,,,,,,,,,,,,,,1.0
318,Calvin Bassey,DEF,FUL,4.5,0.5,,,,,,,,,,,,,,1.0
285,Odsonne Édouard,FWD,CRY,5.0,0.5,,,,,,,,,,,,,,1.0
527,Taiwo Awoniyi,FWD,NFO,5.4,0.5,,,,,,,,,,,,,,1.0
526,Igor Jesus Maciel da Cruz,FWD,NFO,5.9,0.5,,,,,,,,,,,,,,1.0
500,William Osula,FWD,NEW,5.5,0.5,,,,,,,,,,,,,,1.0
192,Quilindschy Hartman,DEF,BUR,4.0,0.5,,,,,,,,,,,,,,1.0
273,Adam Wharton,MID,CRY,5.0,0.5,,,,,,,,,75.0,,,,,1.0
293,Jake O'Brien,DEF,EVE,5.0,0.5,,,,,,,,,,,,,,1.0
